(2, 1, {'free_bw': 38.9913728, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008627200000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 3, {'free_bw': 31.9911808, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008819200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 8, {'free_bw': 6.9921536, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0078464, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 9, {'free_bw': 27.9916128, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008387200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(1, 9, {'free_bw': 37.9921376, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0078624, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(3, 4, {'free_bw': 20.9911808, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008819200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 34.9915648, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0084352, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 5, {'free_bw': 39.991544, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008456, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 38.9920784, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0079216, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 8, {'free_bw': 4.9917088, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0082912, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(5, 6, {'free_bw': 30.9920784, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0079216, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(6, 7, {'free_bw': 15.9923616, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0076384, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 8, {'free_bw': 32.9915648, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0084352, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 10.9917568, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008243200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(8, 10, {'free_bw': 29.9917568, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008243200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.83})
(8, 11, {'free_bw': 7.9917568, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008243200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(9, 10, {'free_bw': 27.9924416, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0075584, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(11, 12, {'free_bw': 33.9917728, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0082272, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 40.0})
(11, 16, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(11, 14, {'free_bw': 17.9919488, 'delay': 0, 'loss': 100, 'used_bw': 0.0080512, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 31.62})
(11, 15, {'free_bw': 33.9926336, 'delay': 0, 'loss': 100, 'used_bw': 0.0073663999999999995, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 50.0})
(12, 13, {'free_bw': 22.9919968, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0080032, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 14, {'free_bw': 22.9919488, 'delay': 0, 'loss': 100, 'used_bw': 0.0080512, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 42.43})
(13, 14, {'free_bw': 21.9919488, 'delay': 0, 'loss': 100, 'used_bw': 0.0080512, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 30.0})
(13, 20, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(16, 15, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(16, 17, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(14, 15, {'free_bw': 13.9920448, 'delay': 0, 'loss': 100, 'used_bw': 0.007955199999999999, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 41.23})
(14, 19, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(15, 17, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(15, 19, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(15, 18, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(17, 22, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(17, 21, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(17, 18, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(21, 22, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(21, 25, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(22, 18, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
