(2, 1, {'free_bw': 38.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 3, {'free_bw': 32.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 8, {'free_bw': 6.999808153477218, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177468, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 9, {'free_bw': 27.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177468, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(1, 9, {'free_bw': 37.99980807676929, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001919232307077168, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(3, 4, {'free_bw': 20.999808268424207, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001917315757938886, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 34.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177468, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 5, {'free_bw': 39.999808268424204, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001917315757938886, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 39.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 8, {'free_bw': 4.999808268424206, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001917315757938886, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(5, 6, {'free_bw': 31.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(6, 7, {'free_bw': 16.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 8, {'free_bw': 32.99980811513092, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019188486907855288, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 10.99990405756546, 'delay': 0, 'loss': 0.0, 'used_bw': 9.594243453927644e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(8, 10, {'free_bw': 29.99990405756546, 'delay': 0, 'loss': 0.0, 'used_bw': 9.594243453927644e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.83})
(8, 11, {'free_bw': 7.9999040383846465, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(9, 10, {'free_bw': 27.99990405756546, 'delay': 0, 'loss': 0.0, 'used_bw': 9.594243453927644e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
