(4, 3, {'free_bw': 0, 'delay': 2.5130510330200195, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(4, 8, {'free_bw': 0, 'delay': 2.4328231811523438, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(4, 6, {'free_bw': 0, 'delay': 3.4046173095703125, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(4, 5, {'free_bw': 0, 'delay': 2.4574995040893555, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(3, 5, {'free_bw': 0, 'delay': 2.8607845306396484, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(3, 2, {'free_bw': 0, 'delay': 1.520395278930664, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(5, 6, {'free_bw': 0, 'delay': 2.0259618759155273, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(7, 6, {'free_bw': 0, 'delay': 0.9503364562988281, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(7, 12, {'free_bw': 0, 'delay': 0.8560419082641602, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(7, 8, {'free_bw': 0, 'delay': 0.5970001220703125, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(8, 10, {'free_bw': 0, 'delay': 1.8912553787231445, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(8, 2, {'free_bw': 0, 'delay': 2.6034116744995117, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(8, 11, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(10, 9, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(10, 16, {'free_bw': 0, 'delay': 1.6274452209472656, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(9, 2, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(9, 1, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(12, 14, {'free_bw': 0, 'delay': 2.548098564147949, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(12, 13, {'free_bw': 0, 'delay': 3.637075424194336, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(12, 11, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(16, 11, {'free_bw': 0, 'delay': 0.7897615432739258, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(16, 15, {'free_bw': 0, 'delay': 3.9205551147460938, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(16, 17, {'free_bw': 0, 'delay': 3.0319690704345703, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(11, 15, {'free_bw': 0, 'delay': 0.9922981262207031, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(11, 14, {'free_bw': 0, 'delay': 0.6986856460571289, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 14, {'free_bw': 0, 'delay': 2.082943916320801, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 18, {'free_bw': 0, 'delay': 2.2579431533813477, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 19, {'free_bw': 0, 'delay': 3.975033760070801, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 17, {'free_bw': 0, 'delay': 5.578160285949707, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(14, 13, {'free_bw': 0, 'delay': 3.0183792114257812, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(14, 19, {'free_bw': 0, 'delay': 2.5995969772338867, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(13, 20, {'free_bw': 0, 'delay': 2.8651952743530273, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(20, 24, {'free_bw': 0, 'delay': 2.6509761810302734, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(20, 19, {'free_bw': 0, 'delay': 2.086043357849121, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(24, 19, {'free_bw': 0, 'delay': 1.887202262878418, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(24, 27, {'free_bw': 0, 'delay': 2.593874931335449, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(24, 23, {'free_bw': 0, 'delay': 1.2059211730957031, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 19, {'free_bw': 0, 'delay': 1.4674663543701172, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 17, {'free_bw': 0, 'delay': 2.431035041809082, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 22, {'free_bw': 0, 'delay': 1.9801855087280273, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 23, {'free_bw': 0, 'delay': 0, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(19, 23, {'free_bw': 0, 'delay': 0.46122074127197266, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(23, 27, {'free_bw': 0, 'delay': 0.9052753448486328, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(23, 22, {'free_bw': 0, 'delay': 0.670313835144043, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(23, 26, {'free_bw': 0, 'delay': 1.508474349975586, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(25, 21, {'free_bw': 0, 'delay': 2.330183982849121, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(25, 26, {'free_bw': 0, 'delay': 1.2172460556030273, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(25, 28, {'free_bw': 0, 'delay': 2.3779869079589844, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(25, 22, {'free_bw': 0, 'delay': 1.9835233688354492, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(21, 17, {'free_bw': 0, 'delay': 2.4480819702148438, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
