loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
stplib: Exception occurred during handler processing. Backtrace from offending handler [port_status_handler] servicing event [EventOFPPortStatus] follows.
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/ryu/base/app_manager.py", line 290, in _event_loop
    handler(ev)
  File "/usr/local/lib/python3.6/dist-packages/ryu/lib/stplib.py", line 301, in port_status_handler
    if bridge.ports_state[port.port_no] == port.state:
KeyError: 4294967294
packet in 1152921504606846986 ca:47:be:ca:36:5a 33:33:00:00:00:02 4
packet in 1152921504606846984 ca:47:be:ca:36:5a 33:33:00:00:00:02 5
packet in 1152921504606846983 ca:47:be:ca:36:5a 33:33:00:00:00:02 3
packet in 1152921504606846978 ca:47:be:ca:36:5a 33:33:00:00:00:02 4
packet in 1152921504606846985 ca:47:be:ca:36:5a 33:33:00:00:00:02 3
packet in 1152921504606846979 ca:47:be:ca:36:5a 33:33:00:00:00:02 2
packet in 1152921504606846977 ca:47:be:ca:36:5a 33:33:00:00:00:02 2
packet in 1152921504606846980 ca:47:be:ca:36:5a 33:33:00:00:00:02 2
packet in 1152921504606846981 ca:47:be:ca:36:5a 33:33:00:00:00:02 2
packet in 1152921504606846982 ca:47:be:ca:36:5a 33:33:00:00:00:02 2
packet in 1152921504606846979 6e:45:9d:a2:3b:5c 33:33:00:00:00:02 2
packet in 1152921504606846979 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 3
packet in 1152921504606846981 b2:fe:42:0e:96:73 33:33:00:00:00:02 4
packet in 1152921504606846982 da:7e:68:6d:14:2c 33:33:00:00:00:02 2
packet in 1152921504606846979 b2:fe:42:0e:96:73 33:33:00:00:00:02 4
packet in 1152921504606846980 6e:45:9d:a2:3b:5c 33:33:00:00:00:02 2
packet in 1152921504606846980 1a:09:ec:f5:68:2b 33:33:00:00:00:02 3
packet in 1152921504606846978 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 3
packet in 1152921504606846981 6e:45:9d:a2:3b:5c 33:33:00:00:00:02 2
packet in 1152921504606846981 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846980 b2:fe:42:0e:96:73 33:33:00:00:00:02 2
packet in 1152921504606846982 6e:45:9d:a2:3b:5c 33:33:00:00:00:02 2
packet in 1152921504606846978 b2:fe:42:0e:96:73 33:33:00:00:00:02 3
packet in 1152921504606846979 1a:09:ec:f5:68:2b 33:33:00:00:00:02 3
packet in 1152921504606846982 1a:09:ec:f5:68:2b 33:33:00:00:00:02 2
packet in 1152921504606846985 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 3
packet in 1152921504606846977 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846984 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846984 b2:fe:42:0e:96:73 33:33:00:00:00:02 2
packet in 1152921504606846985 b2:fe:42:0e:96:73 33:33:00:00:00:02 3
packet in 1152921504606846977 b2:fe:42:0e:96:73 33:33:00:00:00:02 2
packet in 1152921504606846978 1a:09:ec:f5:68:2b 33:33:00:00:00:02 3
packet in 1152921504606846981 1a:09:ec:f5:68:2b 33:33:00:00:00:02 2
packet in 1152921504606846983 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 3
packet in 1152921504606846986 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846986 b2:fe:42:0e:96:73 33:33:00:00:00:02 2
packet in 1152921504606846983 b2:fe:42:0e:96:73 33:33:00:00:00:02 3
packet in 1152921504606846977 1a:09:ec:f5:68:2b 33:33:00:00:00:02 2
packet in 1152921504606846985 1a:09:ec:f5:68:2b 33:33:00:00:00:02 3
packet in 1152921504606846984 1a:09:ec:f5:68:2b 33:33:00:00:00:02 2
packet in 1152921504606846986 1a:09:ec:f5:68:2b 33:33:00:00:00:02 2
packet in 1152921504606846983 1a:09:ec:f5:68:2b 33:33:00:00:00:02 3
packet in 1152921504606846984 76:d1:35:d8:a5:d8 33:33:00:00:00:02 4
packet in 1152921504606846981 b6:89:8c:00:7e:fc 33:33:00:00:00:02 2
packet in 1152921504606846979 d2:cf:db:d6:7f:f6 33:33:00:00:00:02 4
packet in 1152921504606846978 76:d1:35:d8:a5:d8 33:33:00:00:00:02 4
packet in 1152921504606846986 76:d1:35:d8:a5:d8 33:33:00:00:00:02 2
packet in 1152921504606846980 d2:cf:db:d6:7f:f6 33:33:00:00:00:02 2
packet in 1152921504606846978 d2:cf:db:d6:7f:f6 33:33:00:00:00:02 3
packet in 1152921504606846985 76:d1:35:d8:a5:d8 33:33:00:00:00:02 3
packet in 1152921504606846977 76:d1:35:d8:a5:d8 33:33:00:00:00:02 2
packet in 1152921504606846979 76:d1:35:d8:a5:d8 33:33:00:00:00:02 2
packet in 1152921504606846984 d2:cf:db:d6:7f:f6 33:33:00:00:00:02 2
packet in 1152921504606846985 d2:cf:db:d6:7f:f6 33:33:00:00:00:02 3
packet in 1152921504606846982 d2:cf:db:d6:7f:f6 33:33:00:00:00:02 2
packet in 1152921504606846977 d2:cf:db:d6:7f:f6 33:33:00:00:00:02 2
packet in 1152921504606846980 76:d1:35:d8:a5:d8 33:33:00:00:00:02 2
packet in 1152921504606846981 76:d1:35:d8:a5:d8 33:33:00:00:00:02 2
packet in 1152921504606846983 d2:cf:db:d6:7f:f6 33:33:00:00:00:02 3
packet in 1152921504606846986 d2:cf:db:d6:7f:f6 33:33:00:00:00:02 2
packet in 1152921504606846982 76:d1:35:d8:a5:d8 33:33:00:00:00:02 2
packet in 1152921504606846985 b6:2b:8b:01:ac:3e 33:33:00:00:00:02 3
packet in 1152921504606846978 c6:88:17:c0:c3:83 33:33:00:00:00:02 2
packet in 1152921504606846978 22:81:77:40:a2:17 33:33:00:00:00:02 4
packet in 1152921504606846984 12:64:f5:1f:d9:c4 33:33:00:00:00:02 2
packet in 1152921504606846984 a6:56:38:2d:54:ed 33:33:00:00:00:02 3
