loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 3
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:02 1
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:08 2
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:02 1
packet in 1152921504606846984 00:00:00:00:00:08 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:08 00:00:00:00:00:02 3
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:08 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 3
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 3
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 3
packet in 1152921504606846984 00:00:00:00:00:02 00:00:00:00:00:05 2
packet in 1152921504606846985 00:00:00:00:00:02 00:00:00:00:00:05 3
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 3
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:06 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 3
packet in 1152921504606846984 00:00:00:00:00:02 00:00:00:00:00:07 2
packet in 1152921504606846985 00:00:00:00:00:02 00:00:00:00:00:07 3
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:08 2
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:02 1
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 3
