(2, 1, {'free_bw': 2.7, 'delay': 7.446229457855225, 'loss': 0.0, 'used_bw': 24.3, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 9, {'free_bw': 2.1, 'delay': 18.712282180786136, 'loss': 0.0, 'used_bw': 18.900000000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(2, 8, {'free_bw': 2.6, 'delay': 15.095055103302004, 'loss': 0.0, 'used_bw': 23.400000000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 38.08})
(2, 3, {'free_bw': 2.3000000000000003, 'delay': 17.170846462249756, 'loss': 0.0, 'used_bw': 20.7, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(1, 9, {'free_bw': 2.6, 'delay': 11.03264093399048, 'loss': 0.0, 'used_bw': 23.400000000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(4, 3, {'free_bw': 1.8, 'delay': 16.894161701202393, 'loss': 0.0, 'used_bw': 16.2, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 5, {'free_bw': 2.7, 'delay': 19.69510316848755, 'loss': 0.0, 'used_bw': 24.3, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 1.0, 'delay': 26.25882625579834, 'loss': 0.0, 'used_bw': 9.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 1.1, 'delay': 9.684622287750244, 'loss': 0.0, 'used_bw': 9.9, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(3, 5, {'free_bw': 2.5, 'delay': 17.90452003479004, 'loss': 0.0, 'used_bw': 22.5, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(5, 6, {'free_bw': 2.3000000000000003, 'delay': 17.062008380889893, 'loss': 0.0, 'used_bw': 20.7, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 1.3, 'delay': 18.412649631500248, 'loss': 0.0, 'used_bw': 11.700000000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 1.5, 'delay': 15.524506568908691, 'loss': 0.0, 'used_bw': 13.5, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 2.4000000000000004, 'delay': 19.36662197113037, 'loss': 0.0, 'used_bw': 21.6, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 2.9000000000000004, 'delay': 13.16612958908081, 'loss': 0.0, 'used_bw': 26.1, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.31})
(8, 10, {'free_bw': 2.4000000000000004, 'delay': 15.183568000793457, 'loss': 0.0, 'used_bw': 21.6, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(10, 9, {'free_bw': 3.0, 'delay': 14.577090740203857, 'loss': 0.0, 'used_bw': 27.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 2.0, 'delay': 5.6418776512146, 'loss': 0.0, 'used_bw': 18.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(12, 14, {'free_bw': 1.9000000000000001, 'delay': 16.751885414123535, 'loss': 0.0, 'used_bw': 17.1, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 13, {'free_bw': 1.8, 'delay': 14.227628707885742, 'loss': 0.0, 'used_bw': 16.2, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(12, 11, {'free_bw': 2.4000000000000004, 'delay': 13.720810413360596, 'loss': 0.0, 'used_bw': 21.6, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 11, {'free_bw': 1.9000000000000001, 'delay': 12.40229606628418, 'loss': 0.0, 'used_bw': 17.1, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 17, {'free_bw': 2.6, 'delay': 3.7673711776733403, 'loss': 0.004688374521973147, 'used_bw': 23.400000000000002, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 50.0})
(16, 15, {'free_bw': 2.5, 'delay': 9.674787521362305, 'loss': 0.0, 'used_bw': 22.5, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(11, 15, {'free_bw': 3.0, 'delay': 12.752413749694824, 'loss': 0.0, 'used_bw': 27.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 3.0, 'delay': 21.677136421203613, 'loss': 0.0, 'used_bw': 27.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(15, 14, {'free_bw': 2.8000000000000003, 'delay': 24.256467819213867, 'loss': 0.0, 'used_bw': 25.2, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 2.3000000000000003, 'delay': 22.169530391693115, 'loss': 0.0, 'used_bw': 20.7, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(15, 19, {'free_bw': 2.8000000000000003, 'delay': 20.293712615966797, 'loss': 0.0, 'used_bw': 25.2, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 53.85})
(15, 17, {'free_bw': 2.7, 'delay': 10.58417558670044, 'loss': 0.0, 'used_bw': 24.3, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(14, 13, {'free_bw': 1.9000000000000001, 'delay': 14.185011386871338, 'loss': 0.0, 'used_bw': 17.1, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(14, 19, {'free_bw': 1.6, 'delay': 14.664947986602783, 'loss': 0.0, 'used_bw': 14.4, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(13, 20, {'free_bw': 1.8, 'delay': 12.612760066986084, 'loss': 0.0, 'used_bw': 16.2, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(17, 21, {'free_bw': 2.8000000000000003, 'delay': 25.489747524261475, 'loss': 0.0, 'used_bw': 25.2, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(17, 18, {'free_bw': 2.2, 'delay': 22.626519203186035, 'loss': 0.0, 'used_bw': 19.8, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(17, 22, {'free_bw': 2.3000000000000003, 'delay': 13.109087944030762, 'loss': 0.0, 'used_bw': 20.7, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(20, 24, {'free_bw': 2.3000000000000003, 'delay': 17.47572422027588, 'loss': 0.0, 'used_bw': 20.7, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(20, 19, {'free_bw': 1.6, 'delay': 16.573548316955566, 'loss': 0.0, 'used_bw': 14.4, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(24, 19, {'free_bw': 1.8, 'delay': 21.450936794281006, 'loss': 0.0, 'used_bw': 16.2, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(24, 27, {'free_bw': 2.0, 'delay': 12.824535369873047, 'loss': 0.0, 'used_bw': 18.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(24, 23, {'free_bw': 2.6, 'delay': 21.7774510383606, 'loss': 0.0, 'used_bw': 23.400000000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(18, 22, {'free_bw': 1.0, 'delay': 1377.3190379142761, 'loss': 0.0, 'used_bw': 9.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.4})
(18, 19, {'free_bw': 2.5, 'delay': 15.011787414550781, 'loss': 0.0, 'used_bw': 22.5, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 23, {'free_bw': 1.3, 'delay': 19.83803510665894, 'loss': 0.007943318077160888, 'used_bw': 11.700000000000001, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 56.57})
(19, 23, {'free_bw': 1.8, 'delay': 12.41147518157959, 'loss': 0.0, 'used_bw': 16.2, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(22, 23, {'free_bw': 2.1, 'delay': 17.85010099411011, 'loss': 0.0223180953613593, 'used_bw': 18.900000000000002, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 50.25})
(22, 25, {'free_bw': 2.1, 'delay': 12.625217437744142, 'loss': 0.0, 'used_bw': 18.900000000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 32.02})
(22, 21, {'free_bw': 1.9000000000000001, 'delay': 12.801587581634521, 'loss': 0.0, 'used_bw': 17.1, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
(23, 26, {'free_bw': 1.9000000000000001, 'delay': 11.075913906097412, 'loss': 0.01358488701902296, 'used_bw': 17.1, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 32.02})
(23, 27, {'free_bw': 1.3, 'delay': 9.650528430938722, 'loss': 0.0, 'used_bw': 11.700000000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(25, 21, {'free_bw': 2.5, 'delay': 15.230119228363037, 'loss': 0.0, 'used_bw': 22.5, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(25, 26, {'free_bw': 3.0, 'delay': 11.389315128326416, 'loss': 0.2233888082207081, 'used_bw': 27.0, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 50.25})
(25, 28, {'free_bw': 1.9000000000000001, 'delay': 14.718055725097656, 'loss': 0.0, 'used_bw': 17.1, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(26, 27, {'free_bw': 2.6, 'delay': 9.165346622467043, 'loss': 0.0, 'used_bw': 23.400000000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.41})
(26, 30, {'free_bw': 2.2, 'delay': 9.415149688720703, 'loss': 0.0, 'used_bw': 19.8, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 26.93})
(27, 30, {'free_bw': 2.3000000000000003, 'delay': 8.684754371643066, 'loss': 0.0, 'used_bw': 20.7, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(30, 29, {'free_bw': 2.5, 'delay': 23.13464879989624, 'loss': 0.0, 'used_bw': 22.5, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(29, 28, {'free_bw': 2.3000000000000003, 'delay': 18.106460571289062, 'loss': 0.0, 'used_bw': 20.7, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
